WEO Country Code,ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
512,AFG,Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,442.77","1,506.22","1,459.35","1,576.70","1,611.29","1,758.62","1,781.23","2,093.42","2,207.11","2,278.49","2,513.14","2,569.34","2,555.97","2,506.35","2,492.65","2,515.55","2,392.42","2,439.68","2,328.76",n/a,n/a,n/a,n/a,n/a,n/a,2019
914,ALB,Albania,"5,557.57","5,757.86","5,800.94","5,741.68","5,734.58","5,533.62","5,731.62","5,573.34","5,392.61","5,764.05","5,095.15","3,690.69","3,445.79","3,799.70","4,182.47","4,582.93","5,031.15","4,509.66","4,938.81","5,610.89","6,039.00","6,601.50","6,921.70","7,331.76","7,768.49","8,239.88","8,781.47","9,377.49","10,158.46","10,570.20","11,016.58","11,327.43","11,506.99","11,643.60","11,874.77","12,173.64","12,597.30","13,039.70","13,577.33","13,881.23","13,436.11","14,172.19","14,843.81","15,495.44","16,118.17","16,734.00","17,374.98",2020
612,DZA,Algeria,"9,158.39","9,148.86","9,431.54","9,624.92","9,847.60","9,918.93","9,638.59","9,325.70","8,882.79","9,083.03","9,037.87","8,713.17","8,640.97","8,263.33","8,009.67","8,150.67","8,310.54","8,263.39","8,548.84","8,687.56","8,857.76","8,991.45","9,355.94","9,881.41","10,153.14","10,592.15","10,610.39","10,804.02","10,824.67","10,790.17","10,959.72","11,050.57","11,189.20","11,261.62","11,445.39","11,616.72","11,732.16","11,644.06","11,546.61","11,412.23","10,655.98","10,824.30","10,848.37","10,854.74","10,773.49","10,626.58","10,482.28",2019
171,AND,Andorra,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"60,467.09","60,911.09","57,892.72","55,672.92","56,578.79","56,460.54","57,455.31","56,352.20","56,208.17","56,331.79","49,289.42","51,029.42","52,480.31","52,890.94","53,056.69","52,867.86","52,658.96",2020
614,AGO,Angola,"3,245.56","3,021.10","2,943.24","2,988.61","3,086.33","2,834.76","2,835.94","2,878.17","2,974.02","2,895.84","2,723.23","2,963.39","3,205.14","3,453.13","3,704.93","3,969.80","4,286.14","4,464.00","4,537.30","4,501.24","4,503.63","4,556.36","5,028.17","5,027.67","5,415.88","6,048.38","6,550.31","7,250.51","7,825.34","7,662.65","7,800.96","7,836.71","8,258.38","8,415.10","8,564.00","8,392.09","7,931.22","7,675.54","7,294.01","7,043.65","6,470.21","6,240.63","6,202.10","6,221.83","6,261.50","6,310.89","6,350.98",2017
311,ATG,Antigua and Barbuda,"8,035.61","8,408.07","8,498.39","9,084.99","10,172.42","11,136.41","12,635.22","13,710.36","14,643.36","15,554.48","16,038.72","16,254.95","16,178.34","16,656.01","17,318.92","16,127.90","16,729.18","17,159.07","17,492.75","17,703.69","18,412.73","17,280.66","17,271.92","18,125.80","18,966.47","19,978.90","22,277.17","24,092.57","23,832.04","20,757.05","18,925.37","18,362.98","18,694.80","18,301.18","18,708.43","19,129.79","19,876.07","20,190.63","21,267.02","21,944.75","17,290.99","17,205.20","18,151.84","18,898.87","19,462.63","19,849.39","20,115.55",2011
213,ARG,Argentina,"18,295.43","16,941.52","16,135.87","16,504.37","16,552.43","15,143.02","16,019.23","16,239.41","15,729.40","14,448.22","13,961.36","15,221.16","16,562.77","17,340.00","18,118.16","17,387.03","18,130.83","19,376.36","19,898.28","19,016.97","18,669.29","17,667.36","15,591.77","16,829.23","18,158.06","19,577.84","20,947.87","22,610.96","23,297.92","21,706.68","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,759.40","22,063.90","19,681.61","20,948.25","21,252.02","21,462.44","21,632.31","21,793.21","21,973.57",2019
911,ARM,Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,869.12","2,524.43","2,725.45","3,008.39","3,213.80","3,354.41","3,599.15","3,737.29","3,968.86","4,373.03","5,037.01","5,763.71","6,388.34","7,338.39","8,334.60","9,512.25","10,207.27","8,792.45","8,996.94","9,414.58","10,079.40","10,388.32","10,744.19","11,074.41","11,087.77","11,974.03","12,644.05","13,637.87","12,637.25","13,452.64","14,062.67","14,680.25","15,280.92","15,890.89","16,525.20",2020
314,ABW,Aruba,n/a,n/a,n/a,n/a,n/a,n/a,"20,697.36","24,298.02","28,664.21","31,480.46","31,485.14","32,750.51","33,496.20","33,659.97","34,586.94","34,471.24","33,552.15","34,542.22","34,372.96","34,374.85","36,636.95","37,813.88","37,198.23","37,185.65","39,054.94","37,910.69","37,655.07","38,530.06","38,939.16","34,159.06","33,137.61","33,940.92","33,020.16","34,548.22","34,081.60","34,838.71","35,209.86","36,971.03","37,236.90","36,219.60","28,424.05","31,938.97","34,203.12","36,190.17","36,963.58","37,401.54","37,821.91",2019
193,AUS,Australia,"26,449.79","27,106.61","26,680.61","26,220.51","27,539.77","28,634.62","28,902.64","29,843.59","30,567.66","31,509.83","31,549.17","30,857.39","31,326.53","32,250.83","33,501.36","34,022.07","35,030.91","36,274.87","37,585.99","38,817.92","39,528.38","40,047.93","41,238.69","41,911.22","43,162.73","43,887.85","44,384.76","45,492.60","45,707.28","45,734.89","46,166.89","46,743.74","47,659.18","47,903.48","48,423.48","48,838.19","49,337.69","49,748.46","50,356.29","50,542.12","49,092.13","50,781.05","52,619.14","53,408.81","54,098.69","54,843.19","55,600.69",2020
122,AUT,Austria,"31,351.34","31,257.22","31,813.60","32,802.37","32,907.66","33,623.19","34,374.22","34,905.29","35,195.95","36,477.37","37,811.12","38,777.15","39,142.25","38,931.14","39,634.01","40,591.21","41,508.62","42,329.64","43,797.56","45,267.01","46,682.69","47,093.64","47,635.49","47,870.01","48,871.10","49,628.58","51,077.82","52,807.70","53,409.28","51,275.73","52,095.40","53,442.50","53,564.92","53,256.78","53,190.42","53,197.15","53,570.83","54,390.55","55,354.63","56,303.44","52,573.95","54,362.19","56,525.86","57,425.78","58,282.88","59,152.77","59,917.93",2019
912,AZE,Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,014.74","4,608.01","3,647.88","3,153.36","3,198.56","3,449.86","3,621.40","3,995.18","4,202.02","4,429.60","4,802.08","5,242.49","5,672.81","7,174.54","9,528.12","11,798.40","12,878.90","13,860.63","14,403.00","13,999.84","14,116.13","14,747.14","14,966.79","14,941.15","14,315.38","14,184.79","14,269.47","14,501.14","13,761.01","14,000.22","14,159.20","14,231.23","14,305.26","14,381.32","14,459.42",2020
313,BHS,The Bahamas,"34,019.28","32,415.29","33,670.75","35,157.68","35,215.40","36,185.20","36,496.76","37,216.21","37,278.83","37,493.49","37,260.01","35,105.09","33,184.81","32,717.78","33,170.98","33,921.45","34,756.02","35,867.93","36,945.63","38,949.04","39,924.06","40,366.75","40,861.39","39,779.92","39,584.62","40,387.79","40,901.95","40,998.54","39,579.15","37,495.25","37,651.77","37,464.16","38,194.02","36,418.53","36,840.39","37,012.78","36,637.41","36,821.57","37,422.49","37,269.26","31,507.94","31,783.08","33,945.30","34,912.22","35,717.07","35,957.68","36,093.00",2018
419,BHR,Bahrain,"44,999.95","44,474.09","45,665.91","47,248.85","47,622.14","45,608.11","44,267.01","42,219.68","43,179.68","42,099.80","43,198.22","42,418.50","44,699.05","46,848.98","47,097.89","46,756.83","47,021.61","46,873.72","47,868.80","49,408.69","51,500.17","50,888.65","48,948.39","48,357.61","48,013.99","47,510.52","46,811.96","46,847.33","46,748.23","45,010.86","44,826.72","47,228.90","48,424.65","49,246.00","48,989.61","48,164.15","48,006.93","47,486.02","48,239.39","50,118.41","47,941.39","48,617.21","49,116.26","49,617.71","50,116.20","50,627.42","51,148.50",2020
513,BGD,Bangladesh,"1,358.24","1,396.83","1,404.43","1,431.47","1,452.91","1,468.33","1,487.13","1,490.99","1,487.49","1,512.77","1,544.41","1,572.34","1,611.44","1,645.06","1,682.90","1,725.94","1,774.26","1,829.33","1,882.10","1,944.39","2,013.57","2,071.46","2,132.64","2,217.11","2,314.84","2,424.46","2,555.89","2,689.31","2,805.31","2,921.60","3,063.12","3,224.92","3,387.44","3,550.66","3,731.97","3,943.01","4,181.10","4,450.31","4,756.74","5,113.78","5,012.94","5,246.10","5,677.52","6,030.76","6,408.03","6,807.88","7,224.91",2020
316,BRB,Barbados,"13,206.74","12,910.46","12,241.03","12,269.52","12,677.60","12,780.44","13,389.76","13,691.23","14,120.22","14,576.06","14,045.46","13,451.14","12,640.45","12,697.74","12,906.27","13,120.48","13,590.46","14,181.18","14,656.44","14,651.06","15,251.02","14,843.88","14,917.61","15,197.84","15,364.63","15,920.32","16,759.77","17,059.90","17,106.50","16,171.09","15,739.03","15,575.63","15,451.41","15,183.51","15,117.44","15,441.95","15,782.48","15,817.71","15,685.70","15,444.60","12,632.53","13,016.38","14,087.03","14,725.85","15,099.87","15,338.80","15,581.50",2019
913,BLR,Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,980.75","8,868.63","7,999.97","7,375.37","6,520.10","5,826.44","6,008.82","6,728.35","7,331.22","7,596.74","8,057.66","8,465.72","8,944.30","9,640.58","10,818.21","11,921.31","13,204.75","14,421.56","15,959.19","16,033.04","17,317.20","18,279.55","18,618.57","18,815.51","19,128.72","18,378.65","17,882.39","18,334.76","18,954.13","19,267.04","19,122.76","19,644.05","19,843.80","20,149.63","20,489.89","20,856.63","21,237.82",2020
